"category","content"
"MUSCULAR","Contenido aéreo en tumefacción de tejido blando"
"MUSCULAR","Deformación indiferenciada de los planos musculares o no caracterizada de presentación ecogénica mixta"
"MUSCULAR","Evaluación de una tumefacción de tejido blando muscular con proceso inflamatorio anecogénico encapsulado"
"MUSCULAR","Liquido perivascular anecoico superficial a la vena por hematoma"
"MUSCULAR","Perdida de continuidad de la pared muscular por hernia con anillo hiperecogénico"
"MUSCULAR","Presencia de masa infiltrativa muscular con ecogenicidad mixta, estructuras trabeculadas con contenido anecoico"
"OBSERVACIONES","Observacion 167"
"OBSERVACIONES","Observacion 2  "
"OCULAR","Capsulas anterior y posterior del cristalino delgado y brillante (normal)"
"OCULAR","Catarata intumescence"
"OCULAR","Cornea estructura lineal uniforme y moderadamente ecogénica"
"OCULAR","Cristalino ecogénico por presuntiva esclerosis nuclear"
"OCULAR","Cámara anterior anecoica (normal)"
"OCULAR","Cámara anterior profunda por presuntivo glaucoma y/o buftalmia crónica - aguda"
"OCULAR","Desprendimiento de retina por la presencia de una línea irregular hiperecoica que se extiende desde y hacia la pared posterior del ojo"
"OCULAR","Estructuras ecogenicas en segmento posterior formando hebras finas, membranas, grumos y/o puntos en el humor vítreo por degeneración vítrea"
"OCULAR","Estructuras ecogenicas en segmento posterior por hemorragia de retina"
"OCULAR","Forma anormal del globo ocular por encogimiento Tisis o micro oftalmia"
"OCULAR","Forma anormal del globo ocular por ruptura escleral o corneal"
"OCULAR","Hemorragia vítrea con material ecogénico presente en el segmento posterior"
"OCULAR","Humor vítreo anecoico (normal)"
"OCULAR","Masa retrobulbar que mella focalmente el globo ocular"
"OCULAR","Material ecogénico en cámara anterior por luxación del cristalino"
"OCULAR","Material ecogénico en cámara posterior por luxación del cristalino"
"OCULAR","Medición de la vaina del nervio óptico"
"OCULAR","No se observa ninguna estructura brillante dentro de la cámara anterior o el cuerpo vítreo (normal)"
"OCULAR","Notorio edema de la cabeza del nervio óptico"
"OCULAR","Nódulo hiperecogénico en cámara anterior"
"OCULAR","Pared posterior ojo brillante en  línea curva lisa sin estructuras hiperecoicas adyacentes (normal)"
"OCULAR","Se observa material graso hiperecoico que rodea el nervio óptico hipoecoico (normal)"
"OCULAR","Sinequias anteriores"
"OVARIOS","Caudal al riñón derecho en  fosa ovárica se aprecias  una estructura  morulada de múltiples quistes con refuerzo posterior y cavitaciones internas, se mide en corte longitudinal 16.27mm de ancho y 36."
"OVARIOS","Caudal al riñón izquierdo en  fosa ovárica se aprecia una estructura  morulada de múltiples quistes con refuerzo posterior de 8.88mm de ancho y 25.14mm de largo aproximados realizados en corte longitu"
"OVARIOS","Con presentación anecoica redondeada en su interior de presuntivo quiste o folículo de graff"
"OVARIOS","Forma ovalada o redondeada de ecotextura hipoecoica"
"OVARIOS","No se observa ovario derecho"
"OVARIOS","No se observaron ovarios durante este estudio."
"OVARIOS","Presenta ovario alfa"
"OVARIOS","Quiste con reforzamiento posterior"
"PANCREAS","De características ultrasonográficas conservadas."
"PANCREAS","Ecogenicidad reducida"
"PANCREAS","Ecotextura heterogénea"
"PANCREAS","En corte longitudinal se mide tamaño en cuerpo de ancho ___ mm"
"PANCREAS","No evaluable"
"PANCREAS","Se observa el conducto pancreático dilatado"
"PANCREAS","Se observa imágenes pseudoquística"
"PANCREAS","Se observa quiste"
"PANCREAS","Tamaño aumentado"
"PANCREAS","Tamaño normal"
"PROSTATA","Bilobulada, simétrica, de textura fina a media, ecogénica"
"PROSTATA","Compatibilidad con  Adenomas"
"PROSTATA","Compatibilidad con  Hipoplasia"
"PROSTATA","Compatibilidad con Hiperplasia"
"PROSTATA","Considerablemente hipoecoico con relacion a la grasa periprostática"
"PROSTATA","Contorno irregular y contenido ligeramente hipoecoico sugerente de absceso prostatico"
"PROSTATA","Corte longitudinal mide ___ mm   largo"
"PROSTATA","Corte transversal mide ___ mm ancho y ___ mm alto"
"PROSTATA","De características ecográficas conservadas"
"PROSTATA","Ecogenicidad granular mixta en corte transversal, hiperecoica en distribution de tejido ductal y tejido conectivo glandular hipoecoico normal (patrón mariposa)"
"PROSTATA","Hemisferios prostaticos evidencian adecuada simetría"
"PROSTATA","Hemisferios prostaticos evidencian asimetría"
"PROSTATA","Heterogéneo"
"PROSTATA","Homogéneo"
"PROSTATA","La tabicación y la ecogenicidad del liquido son mas sugestivos de absceso que de quiste"
"PROSTATA","Márgenes lisos y continuos"
"PROSTATA","No evaluado"
"PROSTATA","Posición hipogastrio medio  caudal al trigono vesical"
"PROSTATA","Posición localizada en la cavidad pélvica,  alrededor del cuello vesical"
"PROSTATA","Prostatomegalia."
"PROSTATA","Quistes"
"PROSTATA","Relativa hipogenicidad difusa"
"PROSTATA","Relativamente hiperecoica"
"PROSTATA","Se observa colecta interna"
"PROSTATA","Se observa lesión quística"
"PROSTATA","Simetria de lobulos, parenquima homogeneo y econormal"
"PROSTATA","Tamaño normal"
"PROSTATA","Tamaño pequeño atrofiado"
"PROSTATA","Uretra aparece como una pequeña porcion ecolúcida en el centro de la glandula, con una  estrecha banda de tejido hiperecoico adyacente."
"RAZAS","BASSET HOUND"
"RAZAS","BEAGLE"
"RAZAS","BOSTON TERRIER"
"RAZAS","BOXER"
"RAZAS","BULL TERRIER"
"RAZAS","BULLDOG"
"RAZAS","BULLDOG FRANCES"
"RAZAS","Boxer"
"RAZAS","CANICHE"
"RAZAS","CANINO"
"RAZAS","CHIHUAHUA"
"RAZAS","COCKER"
"RAZAS","CRIOLLO"
"RAZAS","CRUZA"
"RAZAS","DACHSHUND"
"RAZAS","DELFIN  "
"RAZAS","DOGO DE BURDEOS"
"RAZAS","DPC"
"RAZAS","DPL"
"RAZAS","FELINO"
"RAZAS","GOLDEN RETRIVER"
"RAZAS","JACK RUSSEL TERRIER"
"RAZAS","LABRADOR"
"RAZAS","MESTIZO"
"RAZAS","PASTOR ALEMAN"
"RAZAS","PASTOR COLLIE"
"RAZAS","PERRO DE AGUA ESPAÑOL"
"RAZAS","PERSA"
"RAZAS","PERSA EXOTICO"
"RAZAS","PINSCHER"
"RAZAS","PITBULL"
"RAZAS","POINTER ALEMAN"
"RAZAS","POMERANIA"
"RAZAS","POODLE"
"RAZAS","PUG"
"RAZAS","ROTTWEILER"
"RAZAS","SCHNAUZER"
"RAZAS","SHAR PEI"
"RAZAS","SHIH TZU"
"RAZAS","SIAMES"
"RAZAS","SIBERIAN HUSKY"
"RAZAS","TECKEL"
"RAZAS","YORK SHIRE TERRIER"
"RIÑON DERECHO","Alteración en relación cortical disminuida y medular aumentada sugerente de hidronefrosis"
"RIÑON DERECHO","Arteria y vena renal normal, vasos arcuados normales, al doppler color se observa normalidad"
"RIÑON DERECHO","Con la misma descripción ecográfica del riñón contralateral"
"RIÑON DERECHO","Con la misma descripción ecográfica del riñón contralateral presentando alteración corticomedular"
"RIÑON DERECHO","Conserva buena relación y diferenciación corticomedular"
"RIÑON DERECHO","Diferenciación corticomedular reducida,"
"RIÑON DERECHO","En corte longitudinal se mide tamaño en ancho ___mm y largo ___ mm, con corteza renal de __mm"
"RIÑON DERECHO","No se observa diferenciación corticomedular"
"RIÑON DERECHO","No se observa por nerviosismo e intranquilidad en el examen, se recomienda realizar tricotomia para el siguiente examen ecografico"
"RIÑON DERECHO","Pelvis distendida"
"RIÑON DERECHO","Pequeñas áreas hiperecoicas medulares con sombra acústica sugerentes de nefrolitiasis  y fibrosis por proceso senil"
"RIÑON DERECHO","Pequeñas áreas hiperecoicas medulares sin sombra acústica sugerentes de fibrosis por proceso senil"
"RIÑON DERECHO","Quiste en polo craneal de  __ x __mm de diámetro"
"RIÑON DERECHO","Se observa pielectasia"
"RIÑON DERECHO","Se observa signo del anillo medular hiperecogenico (normal para algunas razas pequeñas)"
"RIÑON DERECHO","Se observa una pequeña área hiperecoica medular con sombra acústica sugerente de mineralización, nefrolitiasis o fibrosis"
"RIÑON DERECHO","Superficie irregular"
"RIÑON DERECHO","Superficie lisa, regular y ecogénica"
"RIÑON DERECHO","Tamaño y ubicación anatómica normal alojado en la fosa renal del lóbulo caudado  hepático"
"RIÑON IZQUIERDO","* la doble ecogenicidad cortical si no es acompañada de hallazgos anormales en su orina o químicas sanguíneas (Glucosa, Cre, BUN, Fosforo, ALT, FA)  podría"
"RIÑON IZQUIERDO","** considerarse un proceso normal individual en este paciente sin representar enfermedad, se sugiere realizar seguimiento cada 3 meses ecográficos renales."
"RIÑON IZQUIERDO","Alteración en relación cortical aumentada y medular disminuida sugerente de nefritis intersticial"
"RIÑON IZQUIERDO","Arteria y vena renal normal, vasos arcuados normales"
"RIÑON IZQUIERDO","Capsula de superficie lisa, regular y ecogénica"
"RIÑON IZQUIERDO","Con alteración en relación cortical disminuida y medular aumentada sugerente de hidronefrosis"
"RIÑON IZQUIERDO","Conserva buena diferenciación corticomedular"
"RIÑON IZQUIERDO","Conserva buena relación y diferenciación corticomedular"
"RIÑON IZQUIERDO","Diferenciación corticomedular reducida"
"RIÑON IZQUIERDO","Doppler color normal."
"RIÑON IZQUIERDO","En corte longitudinal se mide tamaño en ancho ___mm y largo ___  mm con corteza renal de __mm"
"RIÑON IZQUIERDO","En cortical presenta pequeñas áreas hiperecoicas difusas sin sombra acústica sugerentes de  fibrosis"
"RIÑON IZQUIERDO","En cortical presenta una área periférica de ecogenicidad reducida anecoica y un área central cortical hiperecoica  de relación iso ecogénica con respecto al hígado"
"RIÑON IZQUIERDO","No se observa diferenciación corticomedular"
"RIÑON IZQUIERDO","Pelvis distendida"
"RIÑON IZQUIERDO","Pequeñas áreas hiperecoicas medulares con sombra acústica sugerentes de nefrolitiasis  y fibrosis por proceso senil"
"RIÑON IZQUIERDO","Pequeñas áreas hiperecoicas medulares sin sombra acústica sugerentes de fibrosis por proceso senil"
"RIÑON IZQUIERDO","Relación Riñón Aorta"
"RIÑON IZQUIERDO","Se observa pielectasia"
"RIÑON IZQUIERDO","Se observa signo del anillo medular"
